"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25","Comp.26","Comp.27","Comp.28","Comp.29"
"Cash.Total.Assets",0.16,-0.02,-0.36,0,0.46,0.14,0.19,-0.1,-0.01,0.01,0.45,0.09,-0.2,-0.02,0.01,0.05,-0.02,-0.03,-0.03,-0.01,0.08,-0.02,0.03,0.08,0.06,-0.07,0.01,0.02,-0.02
"Operating.Funds.to.Liability",0.16,-0.01,-0.24,0.01,-0.01,0.16,0.53,0.16,0,0,0.21,0.08,0,0.59,0.01,0.01,0.02,0.07,-0.03,0.02,-0.01,0.02,-0.01,-0.01,-0.02,0.05,0,0,0.01
"Cash.Flow.to.Total.Assets",0.15,0.03,-0.02,0.02,0.13,0.02,0.16,0.12,0.03,0.02,0.89,0,-0.04,-0.01,0,0,0,-0.01,0.01,-0.01,-0.01,-0.02,-0.01,0.03,0.02,-0.02,0,0,-0.01
"Net.Income.to.Stockholder.s.Equity",0.15,-0.81,0.06,0,0.03,0.01,0.03,0.24,0,0,0,0.01,-0.01,0,0.01,0.11,0,0.01,0.01,0.01,0.04,-0.05,-0.01,0.02,0.01,-0.03,0,0.01,0.02
"Quick.Assets.Total.Assets",0.14,-0.02,-0.03,0.02,0.79,0.08,0.08,-0.04,0,0.01,0.15,0.24,-0.17,-0.03,0,0.01,-0.05,-0.02,-0.02,-0.12,0.15,-0.05,-0.03,0.09,0.05,-0.04,0,-0.04,-0.01
"Cash.flow.rate",0.12,-0.01,-0.19,0.02,-0.06,0.28,0.44,0.13,0.01,0,0.19,-0.04,0.02,0.66,0.01,0.01,0.01,0.1,-0.02,0.01,0.04,-0.01,-0.03,-0.03,-0.05,0.05,0,0,0.01
"Net.worth.Assets",0.12,-0.2,-0.91,0,0.03,0.11,0.09,0.08,0.01,0.01,-0.01,0.06,-0.06,0.04,-0.01,-0.1,0.01,-0.02,0,-0.04,-0.03,0.04,0,0,-0.03,0.03,-0.01,-0.01,0
"Current.Assets.Total.Assets",0.11,0.01,0.15,0.02,0.84,0.05,-0.1,0,0.01,0.01,0.12,0.3,-0.11,0.04,0.05,-0.01,-0.01,-0.01,-0.01,0.08,-0.06,0,-0.05,-0.02,-0.03,-0.04,0.01,0.03,0
"Operating.Expense.Rate",0.09,0.01,0.15,0.01,0.06,-0.24,-0.06,0.18,-0.01,0,0.01,-0.05,0.25,0.03,-0.04,0.01,0,0.01,-0.06,0.1,0.31,-0.04,-0.05,-0.26,-0.05,-0.07,0.06,0.14,0.1
"Cash.Reinvestment..",0.09,-0.11,-0.02,0.01,0.02,0.02,0.84,0.1,0,0,0.06,-0.03,0.01,-0.01,-0.02,0.07,0,0.01,0,0,0.02,-0.02,-0.01,-0.03,-0.01,0,0.01,0.01,0.02
"Total.Asset.Return.Growth.Rate.Ratio",0.08,0,0,0,-0.02,-0.01,-0.16,0.06,0,0.43,0.06,0.05,0.01,0.03,-0.02,0.03,-0.01,0.13,-0.07,-0.01,-0.12,0,-0.03,0.18,0.01,-0.03,-0.01,-0.03,-0.08
"Research.and.development.expense.rate",0.07,-0.04,0.06,0.02,-0.02,-0.06,0.14,0.07,0,0.04,-0.07,0.04,-0.19,-0.03,-0.05,-0.09,-0.02,0.08,-0.09,-0.18,0,-0.04,-0.06,0.26,-0.32,0.08,-0.04,-0.29,-0.34
"Cash.Flow.to.Equity",0.07,-0.26,0.1,0.02,0.06,-0.02,0.08,-0.01,0.02,-0.02,0.72,-0.01,-0.02,-0.06,0,-0.04,0,-0.03,0.01,-0.03,0,0.04,0,-0.01,0,0.05,-0.01,-0.01,0.01
"Net.Worth.Turnover.Rate..times.",0.06,0.18,0.47,0.01,0.47,-0.12,0.13,-0.01,0,0.04,-0.02,0.01,0.34,0.01,0,0.15,0.01,0,0,-0.07,0.14,0.2,0.05,0.17,-0.03,-0.05,-0.01,0.02,0.01
"Current.Liabilities.Liability",0.06,-0.01,0.02,0.01,0.36,0.03,-0.01,-0.03,-0.02,0,0.01,0.89,-0.01,0.01,0.02,-0.03,0.02,-0.03,0.01,0.05,-0.01,0.06,0.03,0.01,0.01,-0.01,-0.01,0.02,0.02
"Working.Capital.Equity",0.06,-0.73,0.11,0.01,0.38,0.03,-0.05,-0.04,0.01,-0.01,0.05,-0.17,-0.04,0.11,0.01,-0.11,0.01,0,0.01,0.06,-0.08,0.38,0.05,-0.05,-0.07,0.05,0,0.03,-0.01
"Current.Liability.to.Liability",0.06,-0.01,0.02,0.01,0.36,0.03,-0.01,-0.03,-0.02,0,0.01,0.89,-0.01,0.01,0.02,-0.03,0.02,-0.03,0.01,0.05,-0.01,0.06,0.03,0.01,0.01,-0.01,-0.01,0.02,0.02
"Cash.Flow.to.Liability",0.06,0.03,-0.05,0,0.05,0.07,0.06,0.06,0.02,0.02,0.78,0.02,0.03,0.25,0.01,0.04,-0.01,0.08,0.01,-0.02,-0.02,-0.05,-0.01,0.01,-0.01,-0.01,0,-0.01,0
"After.tax.Net.Profit.Growth.Rate",0.05,-0.01,0,0.01,0.02,0.04,0.03,0.03,0.01,0.94,-0.01,-0.02,0,0,0.01,-0.02,0,-0.12,0.03,0,0.05,0.01,0.01,-0.05,-0.02,0.03,0,0.01,0.03
"Regular.Net.Profit.Growth.Rate",0.05,-0.01,0,0.01,0.02,0.03,0.03,0.03,0.01,0.94,-0.01,-0.02,0,0,0.01,-0.02,0,-0.12,0.03,0,0.05,0.01,0.01,-0.05,-0.02,0.02,0,0.01,0.03
"Long.term.fund.suitability.ratio..A.",0.05,0,-0.03,0,0.06,-0.01,-0.07,-0.01,0.01,0,0.03,0.04,0.02,0.08,0.82,0.02,0.06,0.08,0,0.04,0.03,-0.01,0.02,-0.05,-0.01,-0.03,0.01,0.04,0
"Interest.bearing.debt.interest.rate",0.04,0.02,-0.09,0.01,-0.02,0,0.02,0.04,0,0.01,-0.03,0.04,0,-0.07,0.02,0.03,0.01,0,-0.01,-0.06,0.02,0.6,-0.09,0.06,0.05,-0.02,-0.01,-0.08,0.09
"Continuous.Net.Profit.Growth.Rate",0.04,0,-0.03,-0.01,0.02,0,-0.01,-0.08,-0.01,0.15,0.01,-0.01,0.01,0,0.01,0.04,0.02,-0.04,0.24,0.03,-0.01,-0.02,0.01,0.11,0.1,0.55,0.03,-0.01,-0.02
"Inventory.Current.Liability",0.03,0,0.03,0,-0.06,0.01,0.01,-0.05,0,-0.01,0.02,0.03,-0.08,0.02,-0.01,-0.06,-0.01,0.14,-0.02,-0.04,0.16,0.08,0,-0.03,0.71,0.06,-0.01,-0.09,-0.1
"Long.term.Liability.to.Current.Assets",0.03,0,0.04,0,-0.08,-0.01,0.05,0.01,0.01,0,-0.01,0.19,-0.02,0.03,0,-0.02,-0.04,-0.02,-0.03,-0.06,-0.14,0.16,-0.13,0.06,-0.01,0.02,-0.01,-0.01,0.59
"Pre.tax.net.Interest.Rate",0.02,0,0,0.99,0.01,0.02,0.01,0.02,0.05,0.01,0.01,0.01,0.01,0,0,0,0,-0.05,0.04,-0.01,0.01,0,0,-0.01,-0.02,-0.01,0,0,0
"After.tax.net.Interest.Rate",0.02,0,0,0.98,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0,0.01,0,0,0,0,-0.05,0.02,0,0,0,0,0,-0.01,0,0,0,0
"Continuous.interest.rate..after.tax.",0.02,0,0,0.99,0.01,0.01,0.01,0.01,0.06,0,0.01,0,0.01,0,0,0,0,0.03,0.03,-0.01,0,0,0,0,0,0,0,0,0
"Total.income.Total.expense",0.02,0,-0.02,0,-0.02,0.02,0.01,0.01,0,0,0,0.01,-0.02,0,0.01,0.01,0.85,0,0,-0.02,0.03,0,0.03,-0.01,-0.01,0,0,0,0
"Operating.Profit.Rate",0.01,0,0,0.95,0.02,-0.01,0.01,0,-0.32,0,0,0,0.01,0.01,0,0,0,0,-0.04,0.01,-0.02,0,0,0,0.02,0.01,0,0,0
"Non.industry.income.and.expenditure.revenue",0.01,-0.01,0,-0.31,-0.02,0.06,-0.01,0.03,0.87,0.02,0.01,0.02,-0.01,-0.01,0,-0.01,0,-0.1,0.16,-0.04,0.06,0.01,0.01,-0.01,-0.07,-0.05,0,-0.01,0
"Operating.Profit.Growth.Rate",0.01,0,-0.01,0,0.02,0,0.02,-0.03,-0.01,0.82,-0.01,0.01,0.01,-0.01,0,-0.02,0,0.07,-0.02,0.01,-0.01,0,0,-0.03,0.01,0.05,0,0.01,0
"Current.Ratio",0.01,0,-0.03,0.01,-0.02,0.01,-0.01,0.02,0.01,0,-0.01,0.02,-0.01,0,0,-0.02,-0.02,0,-0.01,-0.01,-0.01,-0.05,0.93,-0.01,-0.02,0.01,0,-0.01,0.02
"Inventory.Working.Capital",0.01,0,-0.02,0,0.01,-0.07,0.01,0,-0.04,-0.02,0.01,-0.03,0.01,-0.01,0.01,0.02,0.01,-0.07,0.75,0.04,-0.1,-0.02,0,0.04,0.03,0.15,-0.03,0.01,-0.04
"Cash.Flow.to.Sales",0.01,0,-0.02,0.21,0.02,-0.06,0.01,-0.01,0.94,-0.01,0.03,-0.02,0,-0.01,0,0,0.01,0.01,-0.05,0.02,-0.04,-0.01,-0.01,0.01,0.04,0.04,0,0,0
"Equity.to.Liability",0.01,-0.06,-0.68,-0.01,0.07,0.01,0.01,-0.05,0.03,0.01,0,0.08,-0.07,0.45,0.04,0.03,0.02,0.12,0.03,0,0.03,0.07,0.03,0.03,0.03,-0.06,0,0.02,0.05
"Quick.Ratio",0,0,0,-0.01,-0.02,0,-0.01,-0.02,-0.01,0,-0.01,0.04,0.02,-0.02,-0.04,0.01,-0.01,0.02,-0.01,0.68,0,-0.02,-0.02,0.03,0,0.06,-0.02,-0.05,-0.07
"Interest.Expense.Ratio",0,0,0.02,0,0,0,0.01,0.01,0,0,-0.03,-0.03,0.01,0.02,-0.02,0,0,-0.04,0.04,-0.03,0.04,-0.04,-0.01,0.02,0.1,0.1,0.72,0.23,0.05
"Total.debt.Total.net.worth",0,0,-0.05,0,-0.01,-0.08,-0.06,-0.04,0,0,0.01,0,-0.03,0.78,-0.01,0.03,-0.02,-0.03,0,-0.05,0.02,-0.07,0,0.05,0.04,-0.03,-0.01,-0.03,-0.01
"Average.Collection.Days",0,0,0.01,0,-0.01,0.01,0,-0.01,0,0,0,0.02,0.02,-0.01,-0.01,0,0.84,0,0,0.01,-0.02,0,-0.02,0.03,0.01,0,0,-0.01,0
"Revenue.per.person",0,0.01,0.01,-0.08,0.02,-0.02,0.01,-0.01,-0.12,-0.07,-0.01,-0.04,-0.01,-0.11,-0.03,-0.01,0.01,0.77,-0.09,0.04,-0.09,-0.02,-0.01,0.02,0.18,0.08,-0.01,0.02,0.04
"Current.Asset.Turnover.Rate",0,0.02,0.05,0.01,-0.02,-0.07,0.07,-0.03,0,0,-0.02,-0.03,0.77,-0.03,0.01,-0.02,0.01,0,-0.01,-0.02,0.21,0.02,0.02,0.08,0.04,0,-0.01,0,-0.01
"Quick.Asset.Turnover.Rate",0,0.03,0.13,0.01,-0.1,-0.06,-0.04,0,0,0.01,-0.03,0,0.77,-0.01,0,-0.02,-0.01,0.01,-0.01,0.05,-0.11,0,-0.01,-0.05,-0.08,0,0.01,-0.01,-0.03
"Working.capitcal.Turnover.Rate",0,0,-0.03,0.07,0.02,0,0,-0.01,0.97,0,0.02,-0.02,0,0.02,0.01,0,0,0.08,-0.02,0.01,-0.01,0,-0.01,0,0.02,0.02,0,0.01,0
"No.credit.Interval",0,-0.01,-0.04,0,0.07,-0.01,0.01,0.01,0,0.01,-0.02,-0.11,-0.04,-0.02,-0.01,0,0.05,0.11,-0.02,-0.03,0.06,-0.16,0.12,0.06,-0.1,-0.03,-0.01,-0.13,0.59
"Interest.Coverage.Ratio..Interest.expense.to.EBIT.",0,0,0.02,0,0.02,0,-0.01,0.01,0,0,-0.02,-0.02,0.01,0.03,-0.01,0.01,0,-0.05,0.06,-0.02,0.04,-0.04,-0.01,-0.01,0.12,0.1,-0.71,0.27,0.07
"Realized.Sales.Gross.Profit.Growth.Rate",-0.01,-0.01,0.02,0,0.02,0.05,-0.11,0.03,0,-0.02,-0.02,0,0.07,0.06,0,-0.01,-0.01,-0.03,0.02,0.06,0.03,-0.02,0.01,0.62,-0.07,0.19,0.04,0.08,0.11
"Net.Value.Growth.Rate",-0.01,-0.05,0.03,0,0.02,-0.01,-0.03,-0.02,0,0,0,-0.06,-0.01,0.03,0,0.7,0,-0.01,0.01,0.03,-0.05,0.07,-0.01,-0.03,-0.04,0.06,-0.01,-0.01,0.03
"Inventory.and.accounts.receivable.Net.value",-0.01,0.56,0.42,0.01,0.34,-0.02,-0.14,-0.02,0,-0.01,-0.07,-0.04,0.04,0.14,0.03,-0.24,0.02,0,0.04,0.11,-0.1,0.33,0.04,-0.07,-0.07,0.05,0,0.04,0.02
"Quick.Assets.Current.Liability",-0.01,-0.04,0.02,0,-0.04,0.01,-0.04,0.04,0,0.01,0.01,0.07,0.02,0,-0.01,0.33,-0.01,-0.01,0,0,-0.02,0.51,0.1,-0.06,0.03,-0.02,0.02,0.07,-0.17
"Cash.Turnover.Rate",-0.01,-0.03,0.2,0.02,-0.08,-0.04,-0.07,0.06,0.01,0.02,-0.18,0.08,0.23,0.04,0.01,-0.03,0.03,0.03,-0.02,-0.21,-0.28,-0.13,-0.05,-0.15,-0.09,0.09,0,-0.15,-0.25
"Fixed.Assets.to.Assets",-0.01,0,0.03,0,-0.02,0,0,0.01,0,0,-0.01,-0.01,-0.04,-0.02,0.7,-0.01,-0.02,-0.02,0,0.03,-0.02,-0.01,0,0.02,-0.02,0.03,-0.03,-0.02,-0.02
"Total.assets.to.GNP.price",-0.01,0.01,0.01,0,0.04,0.03,-0.03,-0.16,-0.02,0.04,-0.04,0,0.03,0.01,-0.02,0,-0.01,-0.05,0.21,-0.05,-0.01,-0.02,0.01,-0.04,0.04,-0.54,0.02,-0.02,0.01
"Degree.of.Financial.Leverage..DFL.",-0.01,0,0.02,0,-0.05,-0.01,0.04,0,0,0.01,-0.02,0.03,-0.03,-0.03,-0.01,-0.02,-0.01,0.05,-0.02,-0.09,-0.01,-0.04,-0.01,0.08,-0.09,0,-0.01,0.84,-0.11
"Contingent.liabilities.Net.worth",-0.02,0.7,-0.14,0.01,-0.08,-0.01,0.04,0.14,0.01,0.01,-0.09,0.13,-0.01,-0.1,0.01,0.34,-0.01,0.01,0.01,-0.04,0.11,-0.27,-0.05,0.05,0.02,-0.08,0.01,-0.02,-0.01
"Allocation.rate.per.person",-0.02,0,0,0,0.02,0,0.03,0,0,0,-0.01,0.01,0.03,-0.04,0.65,0,-0.02,-0.02,0,-0.06,0.02,0.02,-0.02,0.03,0.02,0.01,0.01,-0.01,0.01
"Revenue.Per.Share..Yuan...",-0.03,0,-0.04,0.01,-0.01,0.12,-0.01,0.01,0.14,0,0.05,0,0.02,0.16,0.06,0.01,-0.01,0.74,0.19,-0.02,0.06,0.01,0.01,-0.03,-0.05,-0.08,0.01,0.03,0.04
"Accounts.Receivable.Turnover",-0.03,0.02,0.05,0.06,-0.05,0.11,-0.02,0.02,0.13,-0.02,0.01,0.06,-0.06,0,-0.01,-0.03,-0.01,0.22,0.73,-0.01,0.12,0.02,-0.01,-0.04,-0.05,-0.23,0.02,-0.03,0.01
"Cash.Current.Liability",-0.03,0.01,0.06,0,-0.05,-0.02,0.03,0.01,0.01,0,-0.03,0.02,-0.01,-0.02,0.03,0,-0.01,0,0.04,0.67,0.04,-0.04,0,0.02,-0.02,0,0.01,-0.03,0.03
"Current.Liabilities.Equity",-0.04,0.95,0.18,0,0.05,-0.02,-0.05,-0.02,0,0,-0.01,0.11,0.02,0,0.01,-0.08,0,-0.01,0.01,0.02,0.01,-0.05,-0.01,0,0.01,-0.01,0,0,0.02
"Current.Liability.to.Equity",-0.04,0.95,0.18,0,0.05,-0.02,-0.05,-0.02,0,0,-0.01,0.11,0.02,0,0.01,-0.08,0,-0.01,0.01,0.02,0.01,-0.05,-0.01,0,0.01,-0.01,0,0,0.02
"Inventory.Turnover.Rate..times.",-0.05,0.01,-0.06,0.01,-0.03,0.02,-0.03,-0.05,0,0.01,0.03,0,-0.09,-0.04,-0.04,0.03,-0.01,0.02,0.01,-0.03,-0.73,0.01,0,-0.06,-0.14,-0.01,0.01,0.04,0.08
"Liability.to.Equity",-0.05,0.98,0.17,0,0.03,-0.02,-0.02,-0.02,0,0,-0.03,-0.03,0.02,0,0,-0.06,0,0.01,0,0.01,0,0.02,0.01,0,0,0,0,0,0
"Equity.to.Long.term.Liability",-0.06,0.75,0.09,0,0.02,-0.02,0.04,0.01,0,-0.01,-0.06,-0.34,-0.01,0,-0.01,0.02,0,0.03,-0.02,0,-0.02,0.19,0.05,0.02,-0.03,0,0.01,0,-0.04
"Current.Liability.to.Assets",-0.07,0.15,0.84,0,0.14,-0.09,-0.1,-0.08,-0.01,0,0.01,0.4,0.06,-0.01,0.03,0.06,0,0,0.02,0.06,0.03,-0.01,0.01,0,0.03,-0.04,0,0.02,0.01
"Total.Asset.Growth.Rate",-0.08,-0.03,-0.02,0.04,-0.01,0.05,0.14,0.13,0.01,-0.01,-0.16,-0.01,0.02,0,-0.02,0.01,-0.08,-0.02,0,-0.05,-0.08,-0.09,0.02,-0.41,-0.04,0.33,0.01,-0.01,0
"Borrowing.dependency",-0.08,0.92,0.16,0,-0.01,-0.01,-0.07,-0.03,0,-0.01,-0.01,-0.12,-0.01,0.03,0,-0.16,0.01,0.01,0.01,0.04,-0.05,0.11,0.03,-0.03,-0.01,0.03,0,0.02,0
"Fixed.Assets.Turnover.Frequency",-0.09,-0.01,-0.01,0.02,-0.46,0.02,0.07,-0.04,0,0.01,0,-0.22,-0.15,0.08,-0.01,-0.03,-0.03,-0.07,-0.03,0.06,0.02,0.03,-0.02,0.16,0.03,-0.08,0.04,0.07,-0.02
"Liability.Assets.Flag",-0.09,-0.24,0.2,0,-0.01,0,0.07,-0.13,0,-0.04,0.02,0,-0.03,0.02,0,0.77,0.01,0.02,-0.01,-0.02,0.04,0.09,0.02,0.03,0,-0.02,0,-0.02,-0.03
"Current.Liability.to.Current.Assets",-0.11,0.08,0.39,-0.13,-0.46,-0.05,0.01,-0.05,-0.17,-0.01,-0.02,0.13,0.08,-0.03,-0.01,0.22,0.11,0.01,0.02,-0.03,0.07,0.12,0.5,0.04,0.14,-0.03,0,0.01,-0.04
"Debt.ratio..",-0.12,0.2,0.91,0,-0.03,-0.11,-0.09,-0.08,-0.01,-0.01,0.01,-0.06,0.06,-0.04,0.01,0.1,-0.01,0.02,0,0.04,0.03,-0.04,0,0,0.03,-0.03,0.01,0.01,0
"Total.expense.Assets",-0.16,0.04,-0.01,0,0.27,0.31,0.06,-0.66,0,-0.01,-0.1,0.11,0.1,-0.05,-0.01,0.09,0.01,-0.06,-0.04,-0.07,-0.15,-0.07,0.01,0.19,0.11,-0.07,-0.02,-0.04,-0.02
